,node,m_sample,m_kl,m_level_2,m_int_pval,m_int_val,m_log_int_pval,m_log_int_val,m_log_rsq,m_log_rsq_adj,m_log_slope_pval,m_log_slope_val,m_rsq,m_rsq_adj,m_slope_pval,m_slope_val,sem_sample,sem_kl,sem_level_2,sem_int_pval,sem_int_val,sem_log_int_pval,sem_log_int_val,sem_log_rsq,sem_log_rsq_adj,sem_log_slope_pval,sem_log_slope_val,sem_rsq,sem_rsq_adj,sem_slope_pval,sem_slope_val,subj_id
0,(wfpt.0),249.5,0.19673267001646225,0.0,0.011459958820147992,0.12919894074520244,0.1788989557498503,0.19862502096848886,0.4705365275269714,0.4675282123424649,1.7887117331198717e-16,0.8334398002221374,0.6992274508606162,0.6975185159223241,1.7104087086141125e-30,0.6918745822214326,6.461423991660042,0.007558571199839237,0.0,0.0033334411169837898,0.002095282087395323,0.012436799150810493,0.007087994192744835,0.0055494442985290415,0.005580975232043407,1.2419194284543484e-16,0.005709108765816041,0.0026502115837354324,0.0026652696040975654,1.6582046145269286e-30,0.004758436022234569,s005
1,(wfpt.1),249.5,0.046299458297847394,0.0,0.023624647259223454,0.11064951233129378,0.13090873097902322,0.18414328173798977,0.6344987751825745,0.6324337965112891,1.6436805358836792e-34,0.8527404935180023,0.8682586598055333,0.8675143584485011,5.354025043052727e-60,0.7908061980444033,6.461423991660042,0.0012866037650403064,0.0,0.005383152900872362,0.0024462820233483664,0.010617347119113512,0.006209115256786142,0.0027316085603919693,0.0027470413771173477,1.3186764648449476e-34,0.00495851296207483,0.0013815804186036711,0.0013893859576918246,4.5285069077680055e-60,0.0048790741120774035,s007
2,(wfpt.10),249.5,0.31464434063351615,0.0,0.16509251401287772,0.04395699946467065,0.22701053747622235,-0.12607015579270336,0.5678831126587279,0.5654554896961363,9.32918263637815e-15,1.0918793409534382,0.7909839000980411,0.7898096523457828,1.8845273269142067e-39,0.8878972891265088,6.461423991660042,0.010560803209530576,0.0,0.01183502360696615,0.0024087474356837123,0.012188846660460436,0.008485312857415139,0.009064261408003668,0.009115184224902564,6.4751587757759065e-15,0.006658154594043207,0.0037287437484952893,0.003749691747082343,1.882228056143142e-39,0.004700019166120872,s028
3,(wfpt.11),249.5,1.448825554854505,0.0,0.0671840883673381,0.07991064468447144,0.1565965239294754,0.06103225408036006,0.823666272549602,0.8226700368012946,6.29639369335894e-22,0.943519299031184,0.8770496699582906,0.8763550353252874,3.6970740289521736e-41,0.8272722246067553,6.461423991660042,0.025666693221873933,0.0,0.008298525892584356,0.0023190825203973087,0.011043484442661617,0.0079057012711673,0.0049734682641947815,0.005001566954952948,6.296390197969702e-22,0.006032622944354678,0.00260348076732801,0.0026181896982168675,3.697074028373028e-41,0.0042534463153507404,s032
4,(wfpt.12),249.5,0.1345021458024646,0.0,0.0943506272425339,0.06856420276817424,0.3870629496689424,-0.04624287402250085,0.473395655647094,0.4704035855087253,1.4279481201665038e-18,1.0289501984073146,0.7697366295041662,0.7684283148990757,1.7069781370852717e-48,0.8368520751422723,6.461423991660042,0.005547139585279371,0.0,0.009616063438718618,0.0023060319725505744,0.014169463761433286,0.00713168775368131,0.007027892367042395,0.007067823573673317,3.711968039176324e-19,0.005704304312078578,0.0020380473790181626,0.0020496271936716777,1.6621241807880926e-48,0.004784677820397669,s034
5,(wfpt.13),249.5,0.503561963573542,0.0,0.09144398683631282,-0.011986520504082773,0.06204899884610754,-0.28792841154829224,0.7497359399103458,0.7483299620446727,4.194518250096666e-20,1.2160916927761376,0.931903921455574,0.9315213592165601,6.83133019152131e-61,1.0121933807125365,6.461423991660042,0.014172176941188762,0.0,0.009231440675796272,0.004031994725380742,0.007778213977643198,0.015907333104694964,0.0064656483498671076,0.006501972217001188,1.3404216388644723e-20,0.012000079177161506,0.0014775657582322267,0.0014858666894582498,6.81880512479856e-61,0.005881217119142456,s042
6,(wfpt.14),249.5,0.05240639996577655,0.0,0.0053258143071437565,0.11721200396764365,0.052229827299089926,0.23104535335367524,0.7239967206688289,0.7224461404478676,2.626544247991387e-38,0.8144888420127349,0.8967955884278339,0.8962157883628222,4.634449510242178e-48,0.7637779878345746,6.461423991660042,0.0006549338221511372,0.0,0.002238731371362342,0.002055257308862932,0.007156881913279137,0.005422370671117689,0.0013641745502909683,0.0013718384522588964,2.626544125113393e-38,0.004371940467203007,0.001165473075368578,0.0011720206769155908,4.634449510242177e-48,0.004418522732549676,s049
7,(wfpt.15),249.5,0.06576575272171406,0.0,0.03821973959884158,0.09860365345169422,0.21872171330134632,0.13915992122856113,0.5293734419396654,0.5267294725123588,1.2888106026343568e-26,0.8863694314778853,0.8004452362873644,0.7993241421092042,6.343343984881533e-54,0.7996761214266406,6.461423991660042,0.002531097950535446,0.0,0.006394277811023236,0.002243091194425762,0.012796606369439037,0.006240531891484423,0.004140503085431628,0.004163764338720573,4.0155608680959065e-27,0.004992545891201463,0.0014959921295006604,0.0015043965796663942,4.094119762268296e-54,0.004610382595439752,s060
8,(wfpt.16),249.5,0.15562690177910207,0.0,2.5973755684136997e-15,0.3233265881097038,0.02016679786560345,0.36815266900919985,0.3461666701548074,0.3424517080534141,1.9835769421732096e-15,0.7013165952460046,0.6368552348809872,0.6347919123519018,1.191672216979897e-35,0.47908149411164896,6.461423991660042,0.0031737120574075687,0.0,1.8089900236860656e-15,0.001686561454586124,0.0038806800177425852,0.004782367482196516,0.002576792097026354,0.0025914329612140045,4.2103837173556403e-16,0.00372756313000656,0.001216921875023569,0.0012238362038589298,4.387726911025705e-36,0.002734710848935538,s062
9,(wfpt.17),249.5,1.875200480422984,0.0,0.12731510510826208,0.05189728551971454,0.16665263892088694,0.10862334759403965,0.7953212148903932,0.7941713340751713,2.621572692866451e-28,0.9037583636081977,0.8451506944671816,0.8442807545484581,1.6263023853615412e-43,0.8501794580711581,6.461423991660042,0.02853648691382019,0.0,0.01095808609458358,0.00188220422854345,0.01203643666595484,0.005633454517397102,0.005120429206470295,0.005149195662686419,1.8636509245387831e-28,0.004312996500721698,0.0029830408375693582,0.002999799493960198,1.6262991057991284e-43,0.0038986653064309934,s063
