,node,m_sample,m_kl,m_level_2,m_int_pval,m_int_val,m_log_int_pval,m_log_int_val,m_log_rsq,m_log_rsq_adj,m_log_slope_pval,m_log_slope_val,m_rsq,m_rsq_adj,m_slope_pval,m_slope_val,sem_sample,sem_kl,sem_level_2,sem_int_pval,sem_int_val,sem_log_int_pval,sem_log_int_val,sem_log_rsq,sem_log_rsq_adj,sem_log_slope_pval,sem_log_slope_val,sem_rsq,sem_rsq_adj,sem_slope_pval,sem_slope_val,subj_id
0,(wfpt.0),249.5,0.04995643359151742,0.0,0.016803828593689077,0.14094480492407915,0.033400107556964126,0.2875169273262758,0.9186042442626922,0.917729021082721,1.1825771911545477e-16,0.7751329406170764,0.9187665018301252,0.9178930233551806,1.6921238343391551e-22,0.7616109818734084,6.461423991660042,0.0017794211237002987,0.0,0.0039004584391240087,0.003250735976349021,0.006141387965004891,0.007702018109463021,0.0027034286694650046,0.0027324977949431234,1.182574944998743e-16,0.006089519598181563,0.0021052277959378906,0.002127864653958726,1.6919339736169277e-22,0.006043066533430526,s005
1,(wfpt.1),249.5,1.0087978738542571,0.0,0.11579294660352571,0.16747408944495146,0.13233583351133776,-0.28895271305417497,0.6075021063966543,0.6029381774012668,4.7454236228951147e-07,1.1799831683278994,0.7165045840297751,0.71320812570454,1.6365230710313297e-14,0.762016569521869,6.461423991660042,0.028898864729844424,0.0,0.010174116618528456,0.005295909256541463,0.010045202143993095,0.015934125714838047,0.009057909360478882,0.009163233887926309,1.6065000413627928e-07,0.011201001860521463,0.004878960401614493,0.004935692499307686,1.435590956500949e-14,0.0057549173602069745,s007
2,(wfpt.10),249.5,0.5436143910477544,0.0,0.13884713070565602,0.047575970646071226,0.19979403157270537,-0.06015824593878328,0.6960247398059476,0.6927909604421811,3.6801866138158856e-11,1.0379165870225249,0.8836597573748367,0.8824220952192507,1.4491962623524047e-24,0.9091463171636146,6.461423991660042,0.018693706344924024,0.0,0.011216324685317754,0.004367351927801115,0.012432886308790997,0.012927250738446805,0.008681037486236911,0.008773388948856455,3.5240093954189945e-11,0.009736805927235106,0.0024264434180529416,0.0024522566459045697,1.448109963375366e-24,0.006605607489705136,s028
3,(wfpt.100),249.5,1.0412955347095645,0.0,0.05710740070774288,0.1884868612382167,0.23226150708650603,0.03491904856635039,0.6795039564981674,0.6760203038514074,1.2266332966163174e-09,0.958437998425073,0.773930869343295,0.7714735961839827,4.353389060602869e-17,0.7341738794755748,6.461423991660042,0.029464828413461062,0.0,0.00756516824255545,0.004411950405514558,0.013412513614926968,0.012854416029572099,0.007962457445668545,0.008049005896164946,9.718524035475291e-10,0.009359653792923322,0.0038141599473078725,0.0038556182076046963,4.3418170312679214e-17,0.005925347493712192,s359
4,(wfpt.101),249.5,0.6112668659298238,0.0,0.12262267281382243,0.07728739291841097,0.2805965603164255,-0.02991452165289485,0.6245111839182056,0.6205166220449949,1.3740071086219507e-11,1.008719084347687,0.827200098538858,0.8253618017148046,5.817225321098197e-25,0.7954887117878249,6.461423991660042,0.020277994960836036,0.0,0.010980282345918276,0.0030706420580919607,0.013400353906089962,0.010862867092145134,0.007645220625528184,0.007726552759842314,4.990584291984213e-12,0.008530666521117983,0.002900039705838573,0.002930891192070897,3.236819646720243e-25,0.006278942606131666,s365
5,(wfpt.102),249.5,0.08438691179413607,0.0,0.08916166096948622,0.08618426479938257,0.3108527323281301,0.06434683809909253,0.5375484593365099,0.532628762095409,2.1456245549238483e-13,0.9446825559336717,0.8663001867676964,0.8648778483290543,1.3898475190383344e-24,0.8353031357195364,6.461423991660042,0.00473333081463871,0.0,0.009164733857159248,0.0036983612434501904,0.013669662573709955,0.00927165965272405,0.006371409351907548,0.00643919030245976,1.146756534546341e-13,0.007316863536970419,0.0021041250505777083,0.0021265093596264067,1.124624587900771e-24,0.006753200290492533,s368
6,(wfpt.103),249.5,0.5975000001493624,0.0,0.08260374858340408,0.13773663687042986,0.21798347082811967,-0.21842660841854694,0.5371739028892043,0.5322502210050474,1.273963269011668e-06,1.1507702514127016,0.7204333596523504,0.7174592464571612,2.338701474527435e-15,0.7400627347842619,6.461423991660042,0.021879948592574906,0.0,0.00891370193592748,0.0038930766146410695,0.011951627573547926,0.013347409792757153,0.010206972158737095,0.010315556968936426,2.3905683900098276e-07,0.010153643887916826,0.004876599824440043,0.00492847854597664,2.1628543281631134e-15,0.006117756009872513,s369
7,(wfpt.104),249.5,0.10375023385338725,0.0,0.025409699296073122,0.17901783889298536,0.18818129125610292,0.19123404745439462,0.6367669719741199,0.6329027908249087,4.8143857013750335e-17,0.8521329434293038,0.8796297435204317,0.8783492088770323,2.5041457518789083e-24,0.7589464195366908,6.461423991660042,0.004589363976830877,0.0,0.0053895918141468845,0.004371492356034858,0.012226517853542966,0.008375127511237366,0.004795070317493377,0.004846081703849689,2.281254856014357e-17,0.006377400688744459,0.0022104193278549957,0.002233934427087494,2.366709737401853e-24,0.006114194469803316,s372
8,(wfpt.105),249.5,7.210054959184639,0.0,0.004225896005762123,0.16934517189699147,0.03761132466160892,0.33957880982358457,0.8182409550823738,0.8161987186226252,9.386542342790696e-14,0.7122127326340979,0.7901023304019715,0.787743929619972,2.0191867254027468e-16,0.6401650875641178,6.461423991660042,0.07760656664547581,0.0,0.001646487555953329,0.002405678491233834,0.006743250892402611,0.010433758140995722,0.004741275050139241,0.00479454780351159,7.865452616964592e-14,0.008267162663250513,0.0026577285937968848,0.00268759071282831,1.4659633613826167e-16,0.005248005387704016,s373
9,(wfpt.106),249.5,1.3004070014799884,0.0,0.16503350024744268,0.06259654238404683,0.21323974715354616,-0.014139269472137124,0.7019100566750246,0.6987388870651841,7.06101298762382e-11,0.9976533056541482,0.8228223181603492,0.8209374492046088,5.551641740244454e-23,0.8309108252288405,6.461423991660042,0.034312485193856504,0.0,0.012356919632612463,0.003137121042835303,0.012470139387762237,0.011026358584696345,0.007648806710059427,0.007730176994208992,4.2937655852164174e-11,0.008480378615214074,0.0036333555364554283,0.0036720082549283567,4.2078063049456225e-23,0.0059083228418585175,s374
