,node,m_sample,m_kl,m_level_2,m_int_pval,m_int_val,m_log_int_pval,m_log_int_val,m_log_rsq,m_log_rsq_adj,m_log_slope_pval,m_log_slope_val,m_rsq,m_rsq_adj,m_slope_pval,m_slope_val,sem_sample,sem_kl,sem_level_2,sem_int_pval,sem_int_val,sem_log_int_pval,sem_log_int_val,sem_log_rsq,sem_log_rsq_adj,sem_log_slope_pval,sem_log_slope_val,sem_rsq,sem_rsq_adj,sem_slope_pval,sem_slope_val,subj_id
0,(wfpt.0),249.5,0.2476940160475592,0.0,3.700569488254993e-21,0.25292548342454724,0.11348204456615173,0.17984617337278128,0.46640204769931476,0.4651697198649023,5.766167909996164e-35,0.8507407417656029,0.7233415721046682,0.7227026380910534,5.240628238686745e-89,0.6028577127595635,6.461423991660042,0.005523224824095031,0.0,3.534073868305473e-21,0.001922821719181632,0.0101405360472009,0.005208047398836308,0.0048754776133649695,0.004886737376906229,3.9203269603509025e-35,0.004022122793842279,0.001807129628984246,0.0018113031385200054,5.24025893799173e-89,0.0030372308679672533,s005
1,(wfpt.1),249.5,5.50238579454576,0.0,6.646000551782375e-23,0.23910430855303402,0.0003511703558638869,0.3610190082659265,0.8236188460862153,0.8231595201645646,1.280385814510287e-102,0.6961680225121097,0.8395203526006387,0.8391024368522043,2.4531661934148276e-108,0.5985162392459175,6.461423991660042,0.03388353120642865,0.0,4.262154252577602e-23,0.0016745937363740093,0.0003511703558628501,0.02496222310011552,0.011020833600353885,0.011049533687854812,1.209001220892496e-102,0.018922315220178974,0.001473288184313587,0.0014771248722935692,2.4531507120848357e-108,0.0023472840845483243,s007
2,(wfpt.10),249.5,0.2952858737921954,0.0,1.228379024400571e-06,0.17923176135196975,0.17358242181721864,0.11804461990870535,0.6080539306819984,0.6071590766424584,1.9682374790302395e-47,0.9010664900417997,0.8103725673220767,0.8099396279780623,7.423552246876457e-115,0.7111806794108455,6.461423991660042,0.00643229977337668,0.0,1.129419010839199e-06,0.0019830500874885213,0.01194390945337202,0.005138309386316051,0.0057718665393162154,0.00578504431680324,1.829156240608355e-47,0.003951075775172884,0.0017957896909565584,0.0017998896674199275,7.423388376395794e-115,0.00316666538158256,s028
3,(wfpt.100),249.5,3.1723625166292244,0.0,0.011804192683121831,0.10382437991986142,0.05863560237581052,0.15996240353267158,0.8348877681346256,0.8345099369404259,1.970166001657342e-75,0.8603485396276146,0.9052604735029809,0.9050436782478392,2.7800399657480044e-109,0.8214922796476224,6.461423991660042,0.025058174889000952,0.0,0.003287950701425223,0.002103441325585799,0.010308289456255497,0.010269083363074239,0.00506368758271035,0.005075274968483146,1.970158785067087e-75,0.007738387530126249,0.0018680843798608412,0.001872359172492101,2.7800399657480044e-109,0.003171154344086825,s359
4,(wfpt.101),249.5,1.0644992554316124,0.0,7.333344321933469e-07,0.1873384983159746,0.1539186105581663,0.06225211305609841,0.7831996963296943,0.7827035857949802,1.0838316999180025e-58,0.9412154881275526,0.8272220675820425,0.8268266947389812,1.8500717915213904e-110,0.6854775080161314,6.461423991660042,0.01530575045226062,0.0,7.312429367234664e-07,0.0018957566922245617,0.01183277332010991,0.0072023796884523915,0.0047779686999086576,0.004788902266727671,1.0838316825871065e-58,0.005482282727714624,0.0021781621695956994,0.0021831465223865368,1.850070480585425e-110,0.003173062853931731,s365
5,(wfpt.102),249.5,0.4463222691839846,0.0,0.00017556311147619663,0.1344531809594567,0.1779105853544741,0.06343527379229467,0.7309248985876446,0.7303091660901331,2.042342256454425e-56,0.9441404843223119,0.8792018021691353,0.8789253760871429,6.9784771529859886e-130,0.7630466493196041,6.461423991660042,0.008994509814058195,0.0,0.00010419447580329771,0.0020210856851355504,0.012045833453350302,0.006443040773302489,0.005688897477991273,0.005701915550023289,1.3120082734749763e-56,0.004990732136060606,0.001767895168920593,0.0017719406956229285,6.877761217870779e-130,0.0035324476082182078,s368
6,(wfpt.103),249.5,1.4038551628215425,0.0,1.313100083120061e-45,0.37581387001197103,0.14969287060459313,0.08585909896791945,0.6129266249662143,0.6120326910746806,6.056205689607376e-42,0.879307504604299,0.7663162955908486,0.7657766103612665,1.5168354040792073e-93,0.4568564797965631,6.461423991660042,0.01621328682598762,0.0,1.3126982468298457e-45,0.0018813068090760788,0.017629747361031737,0.014971349911641093,0.00583266708756731,0.00584613745035615,6.056205682928231e-42,0.010775046519685279,0.0017449278884200579,0.0017489577449752998,1.1177628354656741e-93,0.0022013403613611216,s369
7,(wfpt.104),249.5,0.06334488553219055,0.0,0.004171087865315837,0.1492491080298549,0.1789319201650103,0.11182182671473619,0.5334328735062992,0.532367651756314,8.325747054716662e-62,0.9111654077061662,0.9072114992762954,0.9069996533842317,7.941718096900014e-154,0.7889825523215569,6.461423991660042,0.00139930503215873,0.0,0.0020423640515704234,0.002156252970821883,0.012007842112458467,0.0043608924289075075,0.00417856040501744,0.004188100497266343,5.593021815250716e-62,0.003362733888727985,0.0009624797684565589,0.0009646772108502957,7.941718041587443e-154,0.0031978235189785566,s372
8,(wfpt.105),249.5,11.980638554211136,0.0,2.3087759008724444e-14,0.1351831171129718,3.4540595167906155e-20,0.3956742902489562,0.822330938267026,0.8218374130955455,7.597313550935337e-95,0.6440707716817483,0.8419133238335724,0.8414741941775552,3.0775975966469665e-98,0.6504951544991066,6.461423991660042,0.05006334209421289,0.0,1.1865805427313921e-14,0.0011927619479029242,3.4540595159423836e-20,0.018636187193741317,0.00898239220062543,0.009007343290071607,7.597309119466832e-95,0.015363446508987603,0.0015911399006446035,0.001595559733701948,3.077597589231277e-98,0.0027836693903188366,s373
9,(wfpt.106),249.5,0.39909445826540724,0.0,0.0020381897552213964,0.1349686452530873,0.24299571103701717,0.02290718538104237,0.5675196523772225,0.5665299948311749,1.035374278954083e-32,0.9681905050943748,0.796577493345869,0.7961119956189727,1.2769036892627355e-115,0.7484528271354849,6.461423991660042,0.008225896403283773,0.0,0.0008327345623475147,0.0021021910217324797,0.013236744813120049,0.006852026481888301,0.005123984838167377,0.005135710203929774,1.0353742696801791e-32,0.005239069049230997,0.001713737331456603,0.0017176589271807603,1.2728440812265922e-115,0.003402992411999746,s374
10,(wfpt.107),249.5,1.398353774182673,0.0,2.084199951806741e-22,0.2591185273429262,0.07145926261837467,0.2195932582914675,0.6796178549312639,0.6788796472237325,1.6905057023876812e-35,0.8160267614748387,0.7319530287933356,0.7313354090440113,5.59615393211377e-86,0.5918140914900285,6.461423991660042,0.01739299079351544,0.0,2.0839034913964998e-22,0.0017635467146629974,0.008668626867340648,0.008643579541874545,0.0053282721875824324,0.005340549312438613,1.6904124834065867e-35,0.006569111328157132,0.0020736389143314843,0.002078416884180174,5.5961157521616034e-86,0.0027896049721756358,s376
