"cur_num_vars","prop_det_pos"
88,0.855
89,0.838
90,0.859
91,0.836
92,0.84
93,0.827
94,0.834
95,0.79
96,0.805
97,0.82
98,0.791
99,0.809
100,0.8
101,0.794
102,0.799
103,0.767
104,0.785
105,0.76
106,0.765
107,0.77
108,0.75
109,0.739
110,0.724
111,0.756
112,0.724
113,0.73
114,0.73
115,0.719
116,0.725
117,0.712
118,0.708
119,0.702
120,0.659
121,0.674
122,0.65
123,0.671
124,0.691
125,0.661
126,0.647
127,0.678
128,0.655
129,0.642
130,0.653
131,0.652
132,0.646
133,0.636
134,0.624
135,0.611
136,0.609
137,0.592
138,0.608
139,0.586
140,0.621
141,0.597
142,0.596
143,0.608
144,0.547
145,0.579
146,0.581
147,0.555
148,0.443
149,0.444
150,0.512
151,0.525
152,0.504
153,0.482
154,0.51
155,0.505
156,0.501
157,0.502
158,0.461
159,0.49
160,0.489
161,0.01
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
